$10,000 Gold?	L’or à 10.000 dollars l’once ?
The discounted cost of the resulting stream of fixed annual costs totaled $800 billion, but damages avoided by this approach amounted to a discounted value of only $685 billion.	Le coût escompté du flux induit des coûts annuels fixes s’élevaient à 800 milliards de dollars, mais le montant des dommages évités par cette approche ne s’élevait qu’à 685 milliards de dollars.
The Copenhagen Consensus study also examined a portfolio option of the sort heralded by the United Nations’ Intergovernmental Panel on Climate Change.	L’étude du consensus de Copenhague a également porté sur une option portefeuille, analogue à celle que défend le Groupe intergouvernemental d'experts sur le changement climatique des Nations unies.
We allocated $50 billion to research into greener technology, so that only $750 billion could be absorbed by the economic cost of adaptation and mitigation.	Nous avons envisagé l’allocation de 50 milliards de dollars à la recherche sur les technologies vertes, de façon à ce que 750 milliards de dollars seulement puissent être absorbés par le coût économique d’une stratégie d’adaptation et d’atténuation.
The gap between the cost of carbon-free and carbon-emitting technology fell, and the taxes designed to mitigate emissions became more effective.	Dans cette projection, l’écart entre le coût des technologies avec émission de carbone et sans émission de carbone diminue et les taxes destinées à atténuer les émissions deviennent plus efficaces.
As a result, the research and development program essentially paid for itself, and total discounted benefits for the $800 billion investment climbed to more than $2.1 trillion.&#160;	En conséquence, le programme de recherches et de développement se finance de lui-même et les bénéfices totaux escomptés pour un investissement de 800 milliards de dollars s’élèvent à plus de 2,1 mille milliards de dollars.
Ensuring that research and development is part of the world’s climate change response portfolio would make mitigation efforts more efficient and significantly enhance their ability to reduce carbon emissions over the next century.	Faire en sorte que la recherche et le développement soient une partie intégrante du portefeuille de la réponse au changement climatique rendrait les efforts d’atténuation plus efficaces et augmenterait d’autant leur capacité à réduire les émissions de carbone au cours du siècle prochain.
But these favorable net benefits reflect very conservative assumptions regarding the timing of emissions reductions and when the developing world would “come onboard.”	Mais ces bénéfices nets positifs reflètent des hypothèses très minimales concernant le calendrier de réduction des émissions et le moment où les pays en développement participeront à cette option.
Optimizing investment in the portfolio over time would, for example, increase the discounted benefits by more than a factor of three.	Optimiser les investissements dans le portefeuille sur la durée multiplierait par exemple les bénéfices escomptés par trois ou plus.
Expected benefits would increase further if we included the chance that potentially higher climate sensitivities would exacerbate damages, even though doing so would require including similarly plausible lower climate sensitivities, which would push in the opposite direction.	Ces bénéfices augmenteraient davantage encore si on inclut le fait que des variations climatiques potentiellement plus fortes aggraveraient les dommages, même si cette hypothèse oblige à tenir compte de l’évolution contraire - des variations climatiques moindres – qui inverserait la tendance.
Fighting climate change can be a sound investment, even though neither mitigation nor adaptation alone will be enough to “solve” the problem.	Lutter contre le réchauffement climatique constitue un investissement valable, même si l’adaptation et l’atténuation ne sont pas en elles-mêmes suffisantes pour «&#160;résoudre&#160;» le problème.
To make a real difference, especially in the near term, the world must combine mitigation and adaptation with increased research and development into carbon-saving and sequestering technology, which in turn requires designing and exploiting market-based incentives.	Pour vraiment changer quelque chose, en particulier dans le court terme, le monde doit ajouter à l’adaptation et à l’atténuation une stratégie de recherche et de développement dans les techniques de réduction et de séquestration du dioxyde de carbone, ce qui signifie élaborer et exploiter des incitations basées sur le marché.
A “Reset” Button for Europe’s Backyard	Un bouton \u0027réinitialiser\u0027 dans le jardin de l\u0027Europe
STOCKHOLM – One year after the war in Georgia of last August, pushing the “reset” button on diplomatic relations is a popular endeavor nowadays.	STOCKHOLM – Activer le bouton &quot;réinitialiser&quot; des relations diplomatiques est devenu très à la mode dernièrement.
President Barack Obama recently journeyed to Moscow in order to “reset” strained United States-Russian ties.	Le Président Barack Obama vient juste de se rendre à Moscou pour justement 'réinitialiser' des relations franco-russes pour le moins tendues.
The European Union, though not in need of a “reset” because of strained ties with its eastern neighbors, is involved in a deep strategic reconstruction of those relations.	La situation n'est pas la même pour les relations entre l'Union Européenne et ses voisins de l'est, mais elle a tout de même entrepris une profonde reconstruction stratégique de ces relations.
When the EU launched its new “Eastern Partnership” in May, the purpose was to promote further integration with the Union’s six immediate eastern neighbors – Armenia, Azerbaijan, Belarus, Georgia, Moldova, and Ukraine.	Lorsque l'UE a lancé son nouveau “Partenariat avec l'Est” en mai, dans le cadre de sa politique européenne de voisinage, le propos était de promouvoir une intégration intensifiée de ses six voisins orientaux directs – l'Arménie, l'Azerbaïdjan, la Biélorussie, la Géorgie, la Moldavie et l'Ukraine.
The global financial crisis had made an updated and strengthened policy for the EU’s eastern neighborhood an urgent need.	La crise financière mondiale a rendu impérieusement nécessaire une réactualisation et le renforcement de la politique de voisinage avec l'UE.
Equally important was the fact that all the countries concerned expressed an ambition to move closer to the EU.	Il est aussi important d'indiquer que tous les pays concernés ont exprimé un intérêt certain à se rapprocher de l'UE.
The Eastern Partnership – originating from a Polish/Swedish initiative – offers to the six countries a substantial upgrading and deepening of relations with the EU in key areas.	Le partenariat avec l'est – à l'origine, une initiative conjointe de la Pologne et de la Suède  – se propose d'améliorer et d'approfondir substantiellement les relations avec l'UE dans des domaines clés.
In trade and economic relations, it clearly sets out the objective of establishing deep and comprehensive free-trade areas between the EU and the partner countries.	Des objectifs précis ont été clairement déterminés en ce qui concerne les relations commerciales et économiques pour mettre en place un principe de libre échange approfondi dans certains domaines entre l'UE et les pays partenaires.
It confirms full visa liberalization as a long-term goal (with visa facilitation agreements in the meantime), promises enhanced cooperation on energy security, diversification, and efficiency, and comes with dedicated programs and projects to help the neighbors in their integration and reform efforts in all these areas.	La libre circulation des personnes devrait être effective à terme (d'ici là, des accords pour faciliter l'obtention de visas ont été signés) ; ce partenariat prévoit aussi une plus grande coopération dans les domaines de la sécurité de l'énergie, la diversification, et l'efficacité accompagné de programmes et de projets dédiés pour apporter une aide à l'intégration et à l'effort de réformes entrepris par ces pays.
Sweden’s assumption of the EU Presidency this month should help these efforts.	La Suède, qui doit assumer ce mois-ci la présidence de l'UE devrait contribuer à ces efforts.
However, it comes at a time when the Union’s eastern neighborhood faces severe challenges, with the financial and economic crisis hitting many of the partner countries hard.	Mais tout cela arrive à un moment où ces voisins de l'est sont confrontés à de véritables challenges, avec la crise financière et économique qui frappe assez durement certains de ces pays.
Ukraine suffers from the sharp drop in global demand and trade, severely undermining its steel industry.	L'Ukraine souffre d'une forte chute de la consommation et des échanges commerciaux, déstabilisant son industrie de l'acier.
Georgia’s economic success has been largely dependent on direct foreign investment, for which there is hardly any appetite today.	Le succès économique de la Géorgie est largement dû aux investissements étrangers directs, lesquels se font plus rares aujourd'hui.
Partner countries that are less integrated into the global market, such as Moldova, have seen the crisis arrive more slowly, but the real effect might be equally as bad, and they are likely to recover more slowly.	Dans les pays partenaires qui sont moins impliqués dans les marchés internationaux, comme la Moldavie, la crise a frappé plus lentement, mais ses effets risquent d'être aussi durs et ils devraient mettre plus de temps à se rétablir.
The Eastern Partnership does not offer any quick remedies to the crisis.	Le partenariat avec l'est n'offre pas de solution rapide à la crise.
But it can provide a political framework and institution-building support to improve the deficiencies that made these countries so vulnerable to the crisis: imperfect market economies, weak state institutions, and continued corruption.	Mais il peut fournir un cadre politique et un soutien à la mise en place d'institutions susceptibles d'améliorer les faiblesses qui ont rendu ces pays trop vulnérables à la crise : économies de marché imparfaites, institutions d'état faibles et corruption rampante.
The Eastern Partnership’s offer of deep integration with the EU in the areas such as trade and energy carries with it considerable transformational power.	La proposition de grande intégration proposée par le partenariat avec l'est dans les domaines tels que le commerce et l'énergie porte en elle un pouvoir de transformation considérable.
The other type of crisis that most of the partner countries are enduring is political.	L'autre type de crise à laquelle la plupart de ces pays partenaires doivent faire face est d'ordre politique.
In most of these countries, democratic development has not yet reached a point where a change in government is a routine part of political life and can take place without risking the country’s stability.	Dans la plupart de ces pays, le développement démocratique n'a pas atteint le point où un changement de gouvernement est une routine intégrée à la vie politique et peut s'envisager sans risquer de déstabiliser le pays.
The Eastern Partnership is based on the profound values of democracy, human rights, and the rule of law.	Le partenariat avec l'est est basé sur les valeurs profondes de la démocratie, des droits de l'homme et des règles de droit.
Political association with the EU, and the process of integration under this Partnership, will promote reforms in these key areas.	L'association politique avec l'UE et le processus d'intégration prévu dans ce partenariat permettra de profondes réformes dans ces domaines clés.
The Swedish EU Presidency will concentrate on starting up the concrete work – the nuts and bolts – of the Partnership.	La présidence suédoise de l'UE concentrera ses efforts à concrétiser les objectifs et les détails pratiques de ce partenariat.
The establishment of “Comprehensive Institution-Building Programs,” designed to support reform of key institutions in each partner country, should take place before the year’s end.	La mise en route de “Programmes de mise en place des institutions,” conçus pour soutenir les réformes nécessaires aux institutions clés de chacun des pays partenaires devrait se faire avant la fin de l'année.
Some flagship initiatives proposed by the European Commission will finally see the light of day as well, and new projects and initiatives are likely to be developed.	Des initiative phares proposées par la Commission Européenne devraient enfin voir le jour et de nouveaux projets et initiatives devraient se concrétiser.
Here, Sweden will attach particular importance to energy efficiency programs, which will serve not only the purposes of enhancing energy security and reducing costs, but will also be an important contribution to the fight against climate change.	La Suède apportera une attention toute particulière aux programmes liés à l'efficacité énergétique ce qui devrait non seulement permettre de garantir une meilleure sécurité énergétique et une baisse des coûts mais aussi permettre de combattre de façon conséquente les changements climatiques.
The Swedish Presidency, together with the European Commission, intends to organize the first meeting of the Eastern Partnership Civil Society Forum this autumn.	La présidence suédoise, conjointement avec la Commission Européenne, a l'intention d'organiser la première réunion du Forum de la Société Civile du Partenariat avec l'Est à l'automne.
We hope to see the start of parliamentary cooperation, as well as exchanges between local and regional authorities of the thirty-three EU and partner countries.	Nous espérons y voir le début d'une coopération parlementaire ainsi que des échanges entre les autorités locales et régionales des 33 pays de l'Union Européenne et des pays partenaires.
At the end of the year, a meeting of EU foreign ministers and their colleagues from the six partners will assess the progress made so far and give guidance on the way ahead.	Une réunion prévue en fin d'année devrait avoir lieu entre les ministres des affaires étrangères de l'Union Européenne et leurs six collègues partenaires afin d'évaluer les progrès et définir les règles de conduite pour l'avenir.
The Eastern Partnership is about EU integration, about the six countries moving closer to the EU’s values, legislation, and ways of working, and about the EU being there to support and help this convergence.	Dans ce partenariat avec l'est, il est question d'intégration à l'Union Européenne et de faire en sorte que les valeurs des six pays partenaires soient en phase avec celles de l'UE ; il est aussi question de législation et des méthodes de travail ainsi que de la nécessité pour l'UE de contribuer à soutenir et aider les convergences.
In Russia, there is a perception that is sometimes fostered which suggests that the Partnership is directed against it.	Certains sont d'avis en Russie que ce partenariat a été conçu contre elle.
But this, of course, is untrue.	Mais ceci, bien sur, n'est pas vrai.
On the contrary, Russia, like Turkey, will be welcome to take part in relevant activities within the Partnership’s multilateral dimensions.	Bien au contraire, la Russie, comme la Turquie, sera bienvenue pour participer à certains travaux de ce partenariat aux dimensions multilatérales.
The Eastern Partnership is not an answer to all the problems and difficulties that the six partners are facing.	Le partenariat avec l'est n'est pas une réponse à tous les problèmes et difficultés auxquels sont confrontés les six partenaires.
Nevertheless, it does represent a clear commitment by the EU to lend its political and economic support to their transition and reform – a process that should bring prosperity and stability to the whole region.	Néanmoins, il représente un engagement clair de l'UE à soutenir politiquement et économiquement ces partenaires dans leur transition et leurs réformes – un processus qui devrait apporter prospérité et stabilité à toute la région.
A “Third Way” for Confronting Russia	Politique européenne : une \
PARIS – “Let’s engage Russia if we can, but contain it if we must.”	PARIS – &quot;Traitons avec la Russie si nous le pouvons, mais contenons la si nous le devons&quot;.
These two alternatives already defined Western strategy toward Russia in the mid-1990’s.	Cette alternative définissait déjà la stratégie occidentale à l'égard de la Russie au milieu des années 1990.
Since then, Russia may have changed dramatically, but not our questions about it.	Depuis, la Russie s'est transformée de manière spectaculaire, mais pas nos questions à son sujet.
What do you do when your big neighbor widens the gap that exists between its culture, which is European, and its political system, which is becoming increasingly “Asian,” at least in the bad old sense of “Oriental despotism”?	Que faire quand votre important voisin élargit le fossé entre sa culture, européenne, et son système politique, de plus en plus &quot;asiatique&quot; dans le mauvais sens du terme, autrement dit &quot;despotique&quot;.
Should the best answer to the return of Russia’s imperial ambitions be a modern version of a Holy Alliance of stability designed to contain the world’s new maverick?	La meilleure réponse au retour des ambitions impériales de la Russie serait-elle la version moderne d'une Sainte alliance en faveur de la stabilité pour contenir le nouveau mouton noir du monde ?
Or is a latter-day Yalta Conference, aimed at redrawing the political boundaries of Europe, necessary?	Ou bien une nouvelle conférence de Yalta pour redessiner les frontières politiques de l'Europe serait-elle nécessaire ?
Could the answer be a bit of both?	Ou bien un peu des deux ?
If Russia is becoming what revolutionary France was under Napoleon, or reverting to Soviet form – shorn of a totalitarian ideology but with an appetite for conquest and re-conquest – what is needed is not the “league of democracies” advocated by some conservatives in America.	Si la Russie se rapproche de la France révolutionnaire sous Napoléon ou si elle revient à une forme soviétique - sans l'idéologie totalitaire, mais avec le même appétit de conquête - une &quot;ligue des démocraties&quot; que proposent certains conservateurs américains ne suffira pas pour y faire face.
What is needed, instead, is a “stability league” that includes prominent actors like China, India, and other countries that are more interested in economic growth than in “rocking the boat” of the international system.	Une &quot;ligue de la stabilité&quot; serait préférable. Elle comporterait des acteurs importants tels que la Chine, l'Inde et d'autres pays davantage intéressés par la croissance économique que par le bouleversement du système international.
Such a strategy implies, first of all, a solid partnership with China, not because it is evolving in the direction of democracy, but because it is a status-quo power.	Une telle stratégie suppose un véritable partenariat avec la Chine, non parce qu'elle évolue vers la démocratie, mais parce qu'elle constitue un élément important pour maintenir le statu-quo.
Such a strategy could lead to the opening of negotiations with Iran, and of course to a further closing of ranks within NATO.	Cette stratégie pourrait amener à ouvrir des négociations avec l'Iran et à resserrer les rangs à l'intérieur de l'OTAN.
The message to the Kremlin here would be crystal clear.	Le message serait limpide pour le Kremlin : &quot;Ne vous y trompez pas.
“Do not fool yourself. Nationalism and imperialism will lead you nowhere; you cannot expand geographically without serious costs to your economic growth and your personal enrichment.	Le nationalisme et l'impérialisme ne vous conduiront nulle part, vous ne pourrez pas vous étendre géographiquement sans avoir à en payer un prix élevé au niveau de votre croissance économique et de votre enrichissement individuel.
Europe may be weak and divided, America may no longer be what it was, but with your falling population and the sad state of your economy beyond oil and gas, you simply are not equipped to be in the league of great global powers. China is; you are not.”	L'Europe est peut-être faible et divisée, l'Amérique n'est plus ce qu'elle était, mais avec votre démographie à la baisse et l'état de votre économie au-delà du gaz et du pétrole, contrairement à la Chine, vous n'avez pas les moyens de jouer dans la cour des Grands.&quot;
But the containment argument fails, because the Kremlin can still make mischief around the world by acting with Syria or Venezuela in an irresponsible manner.	Mais l'idée du confinement n'a pas grande valeur, car le Kremlin perturbe la scène internationale en soutenant la Syrie et le Vénézuéla d'une manière irresponsable.
More importantly, rallying the world solely against Russia would mean taking Russia’s great power pretensions too seriously.	Plus grave, une alliance internationale contre la Russie reviendrait à prendre trop au sérieux ses prétentions de grandeur.
For example, many Asians believe that Russia is a problem for Europe, but no longer for the world.	Ainsi, beaucoup de pays asiatiques estiment que si la Russie est un problème pour l'Europe, elle ne l'est plus pour le reste du monde.
At the Cold War’s end, Japan remained obsessed with Russia as the heir to the Soviet Union.	A la fin de la Guerre froide le Japon était obsédé par la Russie en tant qu'héritière de l'Union soviétique.
Today, the Japanese are so concerned with China that they have little time for fears about Russia.	Aujourd'hui il se préoccupe avant tout de la Chine et sa crainte de la Russie est passée au second plan.
The other alternative to a rebirth of “containment” would consist in accepting the Russian argument, or more precisely, Russian “emotions.”	Si l'on ne veut pas d'une renaissance de la stratégie de confinement, l'autre approche consiste à accepter le point de vue russe, ou plus précisément la susceptibilité russe.
It would mean saying, in effect, “We have unnecessarily humiliated you over the last ten years.	Cela reviendrait à dire : &quot;Nous vous avons humilié sans raison pendant 10 ans.
From NATO enlargement to the grant of independence to Kosovo, we have deliberately ignored your sensitivities and your interests.	De l'élargissement de l'OTAN au soutien à l'indépendance du Kosovo, nous avons délibérément fait fi de votre sensibilité et de vos intérêts.
Let’s sit down together like Churchill, Roosevelt, and Stalin at Yalta and redesign a twenty-first-century map of Europe.	Asseyons-nous autour d'une table comme l'ont fait Churchill, Roosevelt et Staline à Yalta et redessinons la carte de l'Europe pour le 21° siècle.
What do you want back?	Que voulez-vous récupérer ?
What do we keep?”	Que gardons-nous ?&quot;
This approach might recognize Russia’s droit de regard on the future evolution of the Caucasus.	Cette approche reconnaît un droit de regard à la Russie sur l'avenir du Caucase.
Indeed, while talking tough under the guidance of Nicolas Sarkozy’s France, which currently holds the EU presidency, Europe has de facto resigned itself to Georgia’s dismemberment.	Mais même si elle a le verbe haut sous la présidence française de Sarkozy, l'Europe s'est de facto résignée au démembrement de la Géorgie.
Russian troops are to remain in South Ossetia and Abkhazia.	L'armée russe va rester en Ossétie du Sud et en Abkhazie.
The West is not about to declare war on Russia for the sake of a Georgia whose credibility has been greatly eroded by its president’s irresponsible behavior.	L'Occident n'est pas sur le point de déclarer la guerre à la Russie pour sauver la Géorgie dont la crédibilité a été largement érodée par le comportement irresponsable de son président.
As for Ukraine, it may one day become part of the European Union, but its future is not in NATO.	De même que l'Ukraine, elle rejoindra peut-être un jour l'UE, mais son avenir ne passe par l'OTAN.
Yet, between all-out containment, which is very unlikely and not necessarily desirable or realistic, and accommodation which borders on appeasement, which would be dangerous for Europe’s future, a third way, based on a few firm principles, must be found.	Néanmoins, entre le &quot;tout confinement&quot; - improbable et ni nécessairement désirable ni réaliste - et une attitude trop accommodante - dangereuse pour l'avenir de l'Europe - on doit rechercher une troisième voie basée sur des principes fermes. Ces principes sont clairs.
These principles are clear. First, Ukraine’s territorial integrity is not negotiable.	Premièrement, l'intégrité territoriale de l'Ukraine n'est pas négociable.
This has been said many times, but repetition does not diminish its importance.	Cela a été dit maintes fois, mais le répéter n'en diminue pas l'importance.
Russia without Ukraine is a manageable nation-state; Russia with Ukraine is an unmanageable empire.	La Russie sans l'Ukraine est un Etat-nation parfaitement gérable ; mais la Russie avec l'Ukraine est un empire ingérable.
Second, even if the West condemns Georgia’s irresponsibility and incorporates into its policy Russia’s sensitivities on the complex historical feelings related to its ex-imperial territories, the Kremlin’s shameless brutality is unacceptable.	Deuxièmement, même si l'Occident condamne la conduite irresponsable de l'Ukraine et intègre dans sa politique la complexité de la sensibilité de la Russie à l'égard de son passé  et des territoires qui appartenaient à son empire, la brutalité sans vergogne du Kremlin est inacceptable.
After all, this is Europe more than six decades after World War II, and nearly 20 years after the collapse of the Soviet Union. The use of force to settle scores and impose one nation’s will upon another cannot be accepted passively.	Plus de 60 ans après la fin de la Deuxième Guerre mondiale et presque 20 ans après l'effondrement de l'Union soviétique, l'Europe ne peut accepter passivement le recours à la force pour marquer des points et imposer la volonté d'une nation à une autre.
In the short term, time may be on Russia’s side.	A court terme, le temps joue en faveur de la Russie.
In the long run – economically, demographically, politically, strategically – time is on “our” side, if we stick to our values and our principles.	Mais à long terme, que ce soit du point de vue démographique, politique ou stratégique, le temps joue en &quot;notre&quot; faveur si nous restons fidèles à nos principes et à nos valeurs.
A Bad Deal for America’s Future	Un mauvais affaire pour l’avenir de l’Amérique
WASHINGTON, DC – The painfully negotiated US budget legislation that President Barack Obama signed on August 2 combines an increase in America’s government debt ceiling with reductions in federal spending, thus averting the prospect of the first default in the 224-year history of the United States.	WASHINGTON, DC – La loi sur le budget des USA que Barack Obama a signée le 2 août, négociée à grand-peine, combine un relèvement du plafond sur la dette gouvernementale et des réductions sur les dépenses fédérales. Les Etats-Unis ont ainsi écarté la perspective du premier défaut en 224 ans d’histoire.
But the agreement has three major flaws.	Cependant, l’accord recèle trois failles majeures.
Two of them offset each other, but the third threatens what America needs most in the coming years: economic growth.	Deux d’entre elles se compensent l’une l’autre, mais la troisième menace ce dont l’Amérique aura le plus besoin au cours des prochaines années : la croissance économique.
The first flaw is that the spending reductions are badly timed: coming as they do when the US economy is weak, they risk triggering another recession.	La première faille : les réductions de dépenses arrivent au mauvais moment, alors que l’économie des USA est en difficulté, et risquent donc de provoquer une nouvelle récession.
The measure’s second shortcoming, however, is that the spending reductions that it mandates are modest.	Ceci dit, la deuxième faille de la mesure est que les réductions de dépenses exigées sont en fait modestes.
While the legislation does too little to address America’s problem of chronic and rising budget deficits, the damage that it inflicts on the economy in the short term is likely to be limited.	De même que la législation n’en fait pas assez pour solutionner le problème des déficits budgétaires chroniques et en augmentation aux USA, le dommage qu’elle infligera à l’économie à court terme sera probablement limité.
The third and most damaging flaw, however, is that the spending cuts come in the wrong places.	Par contre, la troisième faille est la plus grave : les diminutions de dépenses sont prévues aux mauvais endroits.
Because the Democrats in Congress have an almost religious commitment to preserving, intact, America’s principal welfare programs for senior citizens, Social Security and Medicare, the legislation does not touch either of them.	Parce que les Démocrates au Congrès ont un attachement quasi religieux à la préservation, intacte, des programmes « principal welfare » pour les seniors, de la Sécurité Sociale et de Medicare, la loi ne touche à aucun d’entre eux.
These programs’ costs will rise sharply as the 78-million-strong baby-boom generation – those born between 1946 and 1964 – retires and collects benefits, accounting for the largest increase in government spending and prospective deficits in the years ahead.	Pourtant, les coûts de ces programmes augmenteront rapidement lorsque la génération des 78 millions baby boomers – les personnes nées entre 1946 et 1964 – prendra sa retraite et recevra les allocations qui y sont associées ; ce qui représentera une augmentation sans précédent des dépenses gouvernementales et des déficits potentiels pour les années à venir.
And, because the Republicans in Congress have an equally strong allergy to raising any taxes, any time, under any circumstances, the bill does not rely at all on tax increases – not even for the wealthiest Americans – for the deficit reduction that it provides.	Et, parce que les Républicains au Congrès ont une allergie tout aussi forte envers toute augmentation de la taxation, peu importe le moment ou les circonstances, la loi ne prévoit aucune augmentation des taxes pour payer la facture de la réduction du déficit qu’elle prévoit – pas même pour les Américains les plus riches.
All of the spending cuts come from the “discretionary” part of the federal budget, which excludes Social Security, Medicare, the Medicaid program for the poor, and interest on the national debt.	Toutes les réductions de dépenses viennent de la partie « discrétionnaire » du budget fédéral, qui exclut la Sécurité Sociale, Medicare, le programme Medicaid pour les plus pauvres et les intérêts sur la dette nationale.
That leaves only about one-third of total federal spending from which to cut, and much of that goes to the defense budget, which Republicans will attempt to protect in the future.	Ce qui laisse seulement environ un tiers des dépenses fédérales totales pour effectuer ces diminutions. En outre, une bonne partie de ce tiers correspond au budget de la défense, que les Républicains tenteront de protéger à l’avenir.
So the structure established by the August 2 law concentrates deficit reduction on the “discretionary non-defense” part of the federal budget, which is only about 10% of it.	En conséquence, la structure établie par la loi du 2 août concentre la réduction du déficit sur la partie « discrétionnaire hors défense » du budget fédéral, qui en représente seulement 10% environ.
This is too small a pool of money from which to achieve deficit reduction on the scale that the US will need in the years ahead.	Il s’agit d’un trop petit réservoir de ressources pour réaliser une réduction du déficit de la taille qui sera nécessaire aux USA au cours des prochaines années.
Worse yet, discretionary non-defense spending includes programs that are indispensable for economic growth – and economic growth is indispensable for America’s future prosperity and global standing.	Pire encore, les dépenses discrétionnaires hors défense comprennent des programmes qui sont indispensables à la croissance économique – et la croissance économique est indispensable à la prospérité future et au positionnement global de l’Amérique.
Growth is, in the first place, the best way to reduce the country’s budget deficits.	La croissance est, en premier lieu, la meilleure façon de réduire les déficits budgétaires du pays.
The higher the growth rate, the more revenues the government will collect without raising tax rates; and higher revenues enable smaller deficits.	Plus le taux de croissance est élevé, plus les revenus que le gouvernement peut accumuler sans augmenter les taxes sont élevés ; et des revenus plus élevés permettent de réduire le déficit.
Moreover, economic growth is necessary to keep the promise – enormously important to individual Americans – that each generation will have the opportunity to become more prosperous than the preceding one, the popular term for which is “the American dream.”	De plus, la croissance économique est nécessaire pour tenir la promesse – extrêmement importante pour le peuple américain – que chaque génération aura l’opportunité de devenir plus prospère que la précédente, ce qui est communément appelé « le rêve américain ».
Just as important for non-Americans, only robust economic growth can ensure that the US sustains its expansive role in the world, which supports the global economy and contributes to stability in Europe, East Asia, and the Middle East.	Tout aussi important pour les non Américains, seule une croissance économique robuste peut permettre aux USA de tenir leur rôle expansionniste dans le monde, qui soutient l’économie globale et contribue à la stabilité de l’Europe, l’Asie de l’est et le Moyen Orient.
As Thomas L. Friedman and I explain in our forthcoming book That Used To Be Us: How America Fell Behind in the World It Invented and How We Can Come Back, a crucial factor in America's economic success has been an ongoing public-private partnership, which dates back to the founding of the country, that is imperiled by the pattern of budget cuts established by the August 2 legislation.	Comme Thomas L. Friedman et moi-même expliquons dans notre livre à paraître That Used To Be Us: How America Fell Behind in the World It Invented and How We Can Come Back (Ce que nous étions : Comment l’Amérique s’est laissé distancer dans le monde qu’elle a inventé et comment nous pouvons rattraper notre retard, NDT), un facteur crucial du succès économique de l’Amérique a été un partenariat public-privé constant, qui remonte à la fondation du pays, et qui est mis en péril par la nature des réductions de dépenses décidées par la loi du 2 août.
That partnership has five components: wider opportunities for education in order to produce a workforce with cutting-edge skills; investment in infrastructure – roads, power plants, and ports – that supports commerce; funds for research and development to expand the frontiers of knowledge in ways that generate new products; an immigration policy that attracts and retains talented people from beyond America’s borders; and business regulations strong enough to prevent disasters such as the near-meltdown of the financial system in 2008 but not so stringent as to stifle the risk-taking and innovation that produce growth.	Ce partenariat présente cinq composantes : de plus grandes opportunités pour l’éducation afin de produire une main d’ouvre disposant de compétences de pointe ; des investissements d’infrastructure – routes, usines électriques et ports – qui soutiennent le commerce ; des fonds pour la recherche et développement afin de repousser les frontières de la connaissance et créer de nouveaux produits ; une politique d’immigration qui attire et garde les talents d’au-delà des frontières américaines ; enfin, une législation commerciale assez forte pour prévenir des désastres comme le quasi effondrement du système financier en 2008, mais pas assez rigide pour étouffer la prise de risque et l’innovation à la source de la croissance.
The first three elements of the American formula for growth cost money, and that money is included in the “discretionary non-defense” part of the federal budget now targeted by the debt-ceiling legislation.	Les trois premiers éléments de la formule américaine pour la croissance coûtent de l’argent, et cet argent correspond à la partie « discrétionnaire hors défense » du budget fédéral, ciblée par la loi du plafond sur la dette.
Cutting these programs will lower American economic growth in the long term, with negative consequences both at home and abroad.	Réduire ces programmes diminuera la croissance économique de l’Amérique à long terme, avec des conséquences négatives à l’intérieur comme à l’extérieur du pays.
Reducing the deficit by cutting funds for education, infrastructure, and research and development is akin to trying to lose weight by cutting off three fingers. Most of the weight will remain, and one’s life prospects will have worsened significantly.	Réduire le déficit en réduisant les fonds pour l’éducation, l’infrastructure et la recherche et développement, c’est comme essayer de perdre du poids en se coupant trois doigts : la plupart du poids reste intact, alors que les perspectives de vie diminuent fortement.
Reducing deficits in order to raise the debt ceiling was the right thing to do, but the August 2 law does it in the wrong way.	Réduire les déficits afin d’augmenter le plafond sur la dette était une bonne décision, mais la loi du 2 août le fait de la mauvaise manière.
Unless more deficit reduction, which is inevitable, comes from curbing entitlement benefits and increasing revenues, and less from programs vital for economic growth, the result will be a poorer, weaker US – and a more uncertain, if not unstable, world.	Davantage de réduction du déficit sera inévitable. Si celle-ci n’est pas alimentée par une diminution des allocations et une augmentation des revenus, mais par des programmes vitaux pour la croissance économique, le résultat sera un appauvrissement et un affaiblissement des USA – et un monde plus incertain, voire instable.
A Better and Safer Europe	Une Europe meilleure et plus sûre
To many, myself included, NATO's enlargement to take in, among others, the Baltic states of Estonia, Latvia, and Lithuania -- which were once Soviet republics -- is an impossible dream come true.	Pour beaucoup, y compris moi-même, l'élargissement de l'OTAN pour englober, entre autres, les États baltes, la Lettonie, l'Estonie et la Lituanie, autrefois républiques soviétiques, est l'avènement d'un rêve impossible devenu réalité.
When the idea was first floated some 10 years ago, expansion into the Baltics was taken seriously by few people.	Quand cette idée fut lancée pour la première fois, dix ans plus tôt, l'expansion vers la baltique n'était sérieusement considérée que par une poignée de personnes.
Until recently, Russia's robust opposition to the idea posed a serious obstacle, because it sharpened the impression that Russia regarded its so-called "near abroad" as a zone of special interest and influence.	Jusqu'à récemment, l'opposition féroce de la Russie à cette idée représentait un obstacle sérieux parce qu'il exacerbait l'idée que la Russie considérait « sa proche ceinture » comme une zone spéciale d'intérêt et d'influence.
NATO's enlargement makes it crystal clear that no country in the new Europe can be regarded as part of another country's "zone."	L'élargissement de l'OTAN indique clairement qu'aucun pays de la nouvelle Europe ne peut être considéré comme la « cour » d'aucun autre.
